hip_y,leg_scale,disk_radius,score,distance_x,mean_velocity_x,velocity_error,roll_pitch_rms_deg,roll_pitch_rate_rms,tracking_rmse,torque_saturation_fraction,disk_contact_fraction,folded_radial_margin,folded_half_width,elapsed,failed
0.07,1.0,0.2,0.006844337265487246,0.16095416888652772,0.020119271110815965,0.009880728889184034,1.3150653284077478,0.24315266271100142,0.05457569752652281,0.0,0.0,-0.011288880239193111,0.1139937561870289,8.0,False
0.085,0.9,0.18,0.006741407808887788,0.20289785457097004,0.025362231821371255,0.004637768178628744,1.2267437364389648,0.24850771288693918,0.05011315677415809,0.0,0.0,-0.024941294000497966,0.126589380568326,8.0,False
0.09,0.9,0.18,0.006732535208607105,0.20283583841951153,0.02535447980243894,0.004645520197561058,1.2202633890025487,0.2484189312797783,0.05011456462789612,0.0,0.0,-0.024941294000497966,0.131589380568326,8.0,False
0.085,0.85,0.17,0.006666773349269694,0.22147730638296095,0.02768466329787012,0.0023153367021298797,1.0425803693112938,0.2156931400288013,0.04776672782243836,0.0,0.0,-0.03178757596331605,0.12538719275897456,8.0,False
0.09,0.85,0.17,0.006622614569063497,0.2214826975445891,0.027685337193073638,0.002314662806926361,1.0580642854692623,0.21978001520787704,0.04784937577083518,0.0,0.0,-0.03178757596331605,0.13038719275897453,8.0,False
0.07,0.85,0.17,0.006530968140269072,0.21849710342657885,0.027312137928322357,0.002687862071677642,0.9005034152554723,0.18366705334923836,0.04757491509966921,0.0,0.0,-0.03178757596331605,0.11038719275897454,8.0,False
0.085,1.0,0.2,0.006168944056478207,0.15808567202421606,0.019760709003027007,0.010239290996972992,1.3830266688414792,0.26398550783345115,0.0549529399874897,0.0,0.0,-0.011288880239193111,0.1289937561870289,8.0,False
0.09,1.0,0.2,0.0058695084389543215,0.1568523153320698,0.019606539416508726,0.010393460583491273,1.4263154115623353,0.2736007344859308,0.05516436734451442,0.0,0.0,-0.011288880239193111,0.13399375618702888,8.0,False
0.07,0.9,0.17,0.002052185032646519,0.20242612553202097,0.02530326569150262,0.004696734308497378,1.0666927940785278,0.21230434410337148,0.049664132808981416,0.0,0.0,-0.03494129400049795,0.111589380568326,8.0,False
0.085,0.9,0.17,0.0017536178999191243,0.2029936257368594,0.025374203217107424,0.004625796782892575,1.2256308570364134,0.24874981379509173,0.050119819665305335,0.0,0.0,-0.03494129400049795,0.126589380568326,8.0,False
0.09,0.9,0.17,0.0016867113122059595,0.20293437277222257,0.02536679659652782,0.004633203403472178,1.2464476447390926,0.25410527643978387,0.05020169337614012,0.0,0.0,-0.03494129400049795,0.131589380568326,8.0,False
0.07,1.0,0.18,-0.003054363174235339,0.1616880616015569,0.020211007700194614,0.009788992299805385,1.3177729087674692,0.24469944409067723,0.05453376477950539,0.0,0.0,-0.03128888023919313,0.1139937561870289,8.0,False
0.085,1.0,0.18,-0.0038319722564618287,0.15838851785207428,0.019798564731509285,0.010201435268490714,1.4040207907662248,0.2685954769385929,0.05499566563731884,0.0,0.0,-0.03128888023919313,0.1289937561870289,8.0,False
0.09,1.0,0.18,-0.004189706910047011,0.15670666566676253,0.019588333208345316,0.010411666791654683,1.4401027101436825,0.27699222803997914,0.05521522040964601,0.0,0.0,-0.03128888023919313,0.13399375618702888,8.0,False
0.07,1.0,0.17,-0.008149940538447021,0.16116896173642312,0.02014612021705289,0.00985387978294711,1.3253658620449316,0.24609917113676008,0.05454317957597956,0.0,0.0,-0.04128888023919311,0.1139937561870289,8.0,False
0.085,1.0,0.17,-0.008994128431904627,0.15758746530581494,0.019698433163226867,0.010301566836773132,1.4196306716125588,0.27174809282631907,0.055104976761569315,0.0,0.0,-0.04128888023919311,0.1289937561870289,8.0,False
0.09,1.0,0.17,-0.009330797328324078,0.15602169800571647,0.01950271225071456,0.01049728774928544,1.4538805734643034,0.279900291460697,0.05531489215027507,0.0,0.0,-0.04128888023919311,0.13399375618702888,8.0,False
