hip_y,leg_scale,disk_radius,disk_com_x,disk_com_z,complete_com_x,complete_com_z,complete_com_radial_offset,rolling_foot_radial_margin,score,mean_coast_distance,direction_asymmetry,mean_final_speed,mean_slip_rms,mean_lateral_drift,mean_axis_tilt_rms_deg,mean_disk_contact_fraction,mean_foot_contact_fraction,mean_actuator_work,rest_drift,failed,forward_distance,reverse_distance,forward_final_speed,reverse_final_speed
0.09,0.85,0.2,-0.03,0.0,-0.01243049307403997,-0.013242212290171085,0.018162415709418,0.06004164673779719,2.2135416563922905,2.521922562542809,0.028655977586026893,0.774094051592255,0.035648325306846806,0.00020471239859641408,0.01511674459941063,0.978,0.0,693.9535953017566,-0.27021089191046704,False,2.5075945737497958,2.5362505513358227,0.7483185411527392,0.7998695620317708
0.09,0.85,0.17,0.03,0.0,0.016074238787158766,-0.013242212290171085,0.020826361634345963,0.030041646737797134,2.2066376532951866,2.5426800264276923,0.16109640430045058,0.5179883133298534,0.04413568818712524,0.003862608019375965,0.12683231593882488,0.958,0.0,697.5435990871393,0.17506527685944853,False,2.6232282285779176,2.462131824277467,0.5950338145639034,0.4409428120958035
0.07,0.85,0.17,0.03,0.0,0.016074238787158766,-0.013242212290171085,0.020826361634345963,0.030041646737797134,2.2044001195711345,2.5422101317778347,0.1638564587033864,0.5146302627426806,0.04406696134431132,0.004949015505904427,0.19405293591793749,0.961,0.0,697.8057281361387,0.1750490858616723,False,2.624138361129528,2.4602819024261415,0.5911181470544924,0.4381423784308688
0.07,0.85,0.2,0.03,0.0,0.016074238787158766,-0.013242212290171085,0.020826361634345963,0.06004164673779719,2.1120978142315585,2.430383993349753,0.03128514428634688,0.7802307615111825,0.03300671318923913,9.477540298542463e-08,6.306060715529881e-05,0.997,0.0,688.1384139623194,0.2964247881580426,False,2.4460265654929265,2.4147414212065796,0.7029943981873654,0.8574671248349995
0.09,0.85,0.2,0.03,0.0,0.016074238787158766,-0.013242212290171085,0.020826361634345963,0.06004164673779719,2.111999005633584,2.430169112821562,0.03105702414827638,0.779955787859498,0.03300109564528518,1.3928125599123103e-09,7.906034523226707e-05,0.997,0.0,688.1094206282967,0.2964380086968822,False,2.4456976248957005,2.414640600747424,0.702399390572288,0.857512185146708
0.09,1.0,0.2,0.0,-0.03,0.0021433798312463525,-0.021957622178453262,0.022061986511479337,0.02770631700768031,0.31481501582916527,0.7216842843417121,0.504971683066803,0.1369341989869761,0.017321278169456136,6.142732031753933e-05,0.0067639279460382775,0.991,0.0,656.1394316190606,0.027101320109108328,False,0.4691984428083106,0.9741701258751135,-0.33639038298449636,0.6102587809584485
0.07,1.0,0.2,0.0,-0.03,0.0021433798312463525,-0.021957622178453262,0.022061986511479337,0.02770631700768031,0.3099024837334328,0.7188027712627661,0.5090029720819211,0.1323521140771841,0.017330523248362456,2.3516703680819028e-05,0.01778177676345903,0.991,0.0,656.1488544895676,0.027112894121821367,False,0.46430128522180564,0.9733042573037267,-0.3445089566782429,0.6092131848326111
0.09,0.85,0.17,0.0,-0.03,0.001821872856559399,-0.02749457822077045,0.027554873475367885,0.030041646737797134,0.12120188483686962,0.3004464076429913,0.03310045096480607,0.29609624238840543,0.03581240879940831,0.0005885712202596287,0.0421358745050225,0.9595,0.0,696.832054508701,0.001986249326268818,False,0.31699663312539433,0.28389618216058826,0.249304725399457,0.34288775937735383
0.07,0.85,0.17,0.0,-0.03,0.001821872856559399,-0.02749457822077045,0.027554873475367885,0.030041646737797134,0.11974796715749746,0.2975627080685691,0.03073609274541761,0.2977389351788697,0.03581866929009055,0.00014738621434103236,0.04966488069078037,0.9605,0.0,696.5857903109065,0.002194357925168235,False,0.3129307544412779,0.28219466169586027,0.26141394136468143,0.3340639289930579
0.07,0.85,0.17,-0.03,-0.03,-0.01243049307403997,-0.02749457822077045,0.03017397868365755,0.030041646737797134,0.0788356258825132,0.3221843117926688,0.15428694973270904,0.06707455835567133,0.036512129407137356,0.0016426370458800816,0.0339300339460077,0.9545,0.0,694.6157712576057,-0.00717362699575841,False,0.24504083692631431,0.39932778665902335,-0.08467615339555974,0.2188252701069024
0.09,0.85,0.17,-0.03,-0.03,-0.01243049307403997,-0.02749457822077045,0.03017397868365755,0.030041646737797134,0.078317028652434,0.3217214314714935,0.1552493313386364,0.0678037668637069,0.03658618256881182,0.0009885761361634535,0.015447422027861696,0.9555,0.0,694.6230372598716,-0.007173711002447278,False,0.24409676580217532,0.3993460971408117,-0.0832690970049398,0.21887663073235358
0.09,0.85,0.17,0.03,-0.03,0.016074238787158766,-0.02749457822077045,0.03184859469622897,0.030041646737797134,0.07656069856417161,0.34174101670165,0.20778690773320915,-0.08051572117907507,0.03547753808890619,0.00018665787652151657,0.035992945363562526,0.9735,0.0,693.2080653049574,0.004182334672882753,False,0.4456344705682546,0.23784756283504546,-0.002778924732232693,-0.15825251762591747
0.07,0.85,0.17,0.03,-0.03,0.016074238787158766,-0.02749457822077045,0.03184859469622897,0.030041646737797134,0.07071909728003721,0.34266423857532724,0.2097305331515768,-0.0779365552633636,0.03560345747912553,0.006951805935248186,0.6802530501344408,0.974,0.0,698.7889808172824,0.004167881497178813,False,0.44752950515111567,0.23779897199953887,0.0025371573838183573,-0.15841026791054555
0.07,0.85,0.2,0.03,-0.03,0.016074238787158766,-0.027494578220770477,0.03184859469622899,0.06004164673779719,0.06080997544481971,0.2887292149080346,0.09326093407820077,0.4628311034826873,0.030689268424649595,1.0651686153829725e-07,7.375681631217587e-05,0.997,0.0,686.8363573945957,0.05655333192161436,False,0.335359681947135,0.24209874786893423,0.6275284342287437,0.29813377273663094
0.09,0.85,0.2,0.03,-0.03,0.016074238787158766,-0.027494578220770477,0.03184859469622899,0.06004164673779719,0.06078332787886848,0.28866359846860806,0.0931669640313375,0.4631465887205058,0.030686429343220918,8.516720895383358e-08,8.268774124921971e-05,0.997,0.0,686.854157084296,0.05656506905302837,False,0.3352470804842768,0.2420801164529393,0.627850689540511,0.29844248790050054
0.07,0.85,0.2,-0.03,-0.03,-0.01243049307403997,-0.027494578220770477,0.030173978683657576,0.06004164673779719,0.02635180295030429,0.21834483230731005,0.008922573492198355,0.5525318358729927,0.03337198465704616,0.00012332827599356044,0.052041045417835746,0.958,0.0,694.3655453296831,-0.05521378997522885,False,0.2138835455612109,0.22280611905340925,0.3695336668434337,0.7355300049025518
0.09,0.85,0.2,-0.03,-0.03,-0.01243049307403997,-0.027494578220770477,0.030173978683657576,0.06004164673779719,0.022806602397275715,0.2170859141398121,0.011199178471228116,0.5519446416903436,0.03330993634248869,0.0023929244849913997,0.05043155751621884,0.9575,0.0,694.3495551427343,-0.05521503589920597,False,0.21148632490419803,0.22268550337542614,0.36830372424938773,0.7355855591312995
0.07,0.85,0.2,0.0,-0.03,0.001821872856559399,-0.027494578220770477,0.027554873475367912,0.06004164673779719,-0.11284329823020314,0.08574147282109924,0.06982714970068882,0.742447977930935,0.03133552748217888,1.6486545532249634e-05,0.026842768525722656,0.9610000000000001,0.0,693.1151062465372,0.010836964801487048,False,0.12065504767144365,0.050827897970754835,0.7290866026163868,0.755809353245483
0.09,0.85,0.2,0.0,-0.03,0.001821872856559399,-0.027494578220770477,0.027554873475367912,0.06004164673779719,-0.11298191299582278,0.08278543118786148,0.06472997308609565,0.7444324464010279,0.031191626074903056,2.6997057859145093e-05,0.007860681836517568,0.9615,0.0,693.0663541500729,0.010628107761135406,False,0.11515041773090931,0.05042044464481365,0.7327583277449543,0.7561065650571015
0.09,1.0,0.17,0.03,-0.03,0.01639574576184572,-0.021957622178453234,0.02740360652941111,-0.0022936829923197177,-0.35934014553935917,-0.08616978448446772,0.17900106278172745,0.7752544589048433,0.032200327433317466,0.0006987240805440638,0.07908074806682298,0.9715,0.069,650.6847590701886,0.040550381193851175,False,0.003330746906395997,-0.17567031587533144,0.7119475446252266,0.8385613731844602
0.07,1.0,0.17,0.03,-0.03,0.01639574576184572,-0.021957622178453234,0.02740360652941111,-0.0022936829923197177,-0.36550850014428415,-0.08932078436097257,0.18369300414865292,0.7727431387809903,0.032047519301540955,0.0011532278536885352,0.1180051007017971,0.9735,0.07200000000000001,650.9252538777489,0.040539558308833934,False,0.0025257177133538944,-0.18116728643529903,0.7120491978253823,0.8334370797365983
0.09,1.0,0.17,0.0,-0.03,0.0021433798312463525,-0.021957622178453234,0.02206198651147931,-0.0022936829923197177,-0.6267084767321021,0.5276007581632169,1.9523598487745488,0.0161010988033935,0.03206639935833329,0.0006957962993854751,0.036538529341997916,0.9644999999999999,0.1255,633.031147218537,0.012837812353587776,False,-0.4485791662240574,1.5037806825504914,-0.12677578036203363,0.15897797796882063
0.07,1.0,0.17,0.0,-0.03,0.0021433798312463525,-0.021957622178453234,0.02206198651147931,-0.0022936829923197177,-0.6343996424382801,0.5200017853043932,1.9418488812511834,0.02456076538127218,0.03180652833144819,0.006055967583566953,0.3016578929933892,0.967,0.14150000000000001,629.6478314810569,0.012825714154751588,False,-0.4509226553211986,1.490926225929985,-0.13688999930728732,0.18601153006983168
0.07,1.0,0.17,-0.03,-0.03,-0.012108986099353016,-0.021957622178453234,0.025075181277231597,-0.0022936829923197177,-0.6970870485065197,-0.4095813207757279,0.15690778904275826,0.06841596498736066,0.03243298756280619,0.0016545164578081794,0.2430748098557487,0.9515,0.226,589.0128550046352,-0.04733872115693377,False,-0.48803521529710703,-0.33112742625434877,0.06555821304832629,0.07127371692639503
0.09,1.0,0.17,-0.03,-0.03,-0.012108986099353016,-0.021957622178453234,0.025075181277231597,-0.0022936829923197177,-0.6971906717032134,0.0303699037018631,1.0236060467053092,0.038657092063534196,0.0267226480471723,0.00023094549712557923,0.43141804902655145,0.9675,0.258,614.4674635409436,-0.04734885294806245,False,-0.4814331196507915,0.5421729270545177,0.09249453397818132,-0.015180349851112919
0.07,1.0,0.2,0.03,-0.03,0.01639574576184572,-0.021957622178453262,0.027403606529411133,0.02770631700768031,-0.7545637016327009,-0.44081895638039104,0.19353942363319,0.21218322824289557,0.02961442529436385,0.000213414333229232,0.016683977699451638,0.957,0.0,659.0817612304457,0.1318227868408608,False,-0.34404924456379604,-0.537588668196986,0.08981956416281611,0.334546892322975
